timestamp,fold,season,config,n_train,n_val,n_features,val_diff_mae,val_diff_within_5,val_total_mae,val_win_acc,val_brier
2026-07-08 11:38 UTC,1,2021-22,baseline,3369,1230,107,11.315,0.2984,15.183,0.6472,0.2258
2026-07-08 11:38 UTC,1,2021-22,raw_features,3369,1230,125,11.316,0.2886,15.035,0.6366,0.2251
2026-07-08 11:38 UTC,2,2022-23,baseline,4599,1230,107,10.249,0.2951,15.2,0.6325,0.2278
2026-07-08 11:38 UTC,2,2022-23,raw_features,4599,1230,125,10.188,0.3065,15.012,0.6317,0.227
2026-07-08 11:38 UTC,3,2023-24,baseline,5829,1230,107,11.039,0.3041,15.363,0.648,0.2129
2026-07-08 11:38 UTC,3,2023-24,raw_features,5829,1230,125,11.037,0.3,15.107,0.6593,0.2128
2026-07-08 11:38 UTC,4,2024-25,baseline,7059,1225,107,11.198,0.2857,14.962,0.649,0.2139
2026-07-08 11:38 UTC,4,2024-25,raw_features,7059,1225,125,11.143,0.289,14.795,0.6604,0.2126
2026-07-08 11:38 UTC,5,2025-26,baseline,8284,1225,107,11.516,0.2931,15.762,0.6759,0.2088
2026-07-08 11:38 UTC,5,2025-26,raw_features,8284,1225,125,11.426,0.2963,15.379,0.6743,0.207
