stat,r_self,r_within,r_next_margin,n_pairs,r_vs_ref,block_games,seasons
net_rtg_luckadj_nogarbage,0.47500901078832636,0.07391742961685466,0.5110012336731741,450,0.7674698421508261,5,2024-25
net_rtg_luckadj,0.4735726590135849,0.09021129641227409,0.4885260238321916,450,0.7431884121257601,5,2024-25
net_rtg_nonclutch,0.4552703370896278,0.0875842797117874,0.4686935896594708,450,0.9669085109036935,5,2024-25
net_rtg_nogarbage,0.46201438973021147,0.08140843875982448,0.4673535900972579,450,0.9805664757055119,5,2024-25
margin_pg,0.45679224558674913,0.07322399575128757,0.45679224558674913,450,0.9979101340690438,5,2024-25
net_rtg,0.4473112341410229,0.06678010809922347,0.4526346019803394,450,,5,2024-25
off_rtg_nogarbage,0.4196513073874222,0.08013669751550084,0.3928076713581171,450,0.7454305170244198,5,2024-25
net_rtg_2h,0.28122373484165386,0.010463562543596846,0.3696359163379258,450,0.7924369361832534,5,2024-25
time_leading_share,0.35583301337021983,0.027893068761163844,0.36358112555087946,450,0.7958154429112666,5,2024-25
net_rtg_1h,0.33773822672875864,0.039241329602706716,0.36348510749252255,450,0.7544873646633977,5,2024-25
off_rtg,0.397812201466159,0.0760783920066067,0.3630112494652814,450,0.7355046312587844,5,2024-25
net_rtg_close,0.32841829164860514,0.011221163357795197,0.35568612470167243,450,0.8161604267926076,5,2024-25
net_rtg_leading8,0.19731887403644513,0.06023190997012837,0.2964217927201007,324,0.5622601659421906,5,2024-25
efg,0.3248094543381618,-0.015919461680764784,0.2863107822531372,450,0.5860382868148806,5,2024-25
net_rtg_trailing8,0.1735845288106991,-0.0069253107729167285,0.271868562049041,329,0.49478224026045287,5,2024-25
net_rtg_clutch,0.45079161810134666,0.19568409336458534,0.2179798363440425,12,0.38513391508531464,5,2024-25
largest_run_for,0.0363076360219222,-0.12630817464574667,0.20792332868096378,450,0.5129064578127824,5,2024-25
top3_lineup_share,0.4195216539956179,0.058072863066083606,0.1272382788273889,450,0.15300847532737372,5,2024-25
top_lineup_share,0.36361870712615246,0.0829763337848991,0.11873673244650718,450,0.13853894916837142,5,2024-25
own_3p_luck_per100,0.11323659832291291,-0.07052972152947523,0.11721547924109903,450,0.470358631609839,5,2024-25
fta_rate,0.12909076697868357,-0.0027224829451809257,0.08121561366386283,450,0.04299161345924617,5,2024-25
rim_rate,0.43379450170879974,0.09397518753479417,0.05501838633349267,450,0.036257807224349126,5,2024-25
lead_changes,0.059056216969175346,0.013438334219854166,0.022319876493531562,450,-0.031176200774673334,5,2024-25
pace48,0.4880064044181723,0.05616008785318001,0.008850628156690075,450,0.020159321644647166,5,2024-25
three_rate,0.6785009928301644,0.2765125477175873,0.008141895226157604,450,0.06501153117619372,5,2024-25
opp_fg3_pct,0.026254387970392336,-0.04597421554164353,0.004926249821148739,450,-0.37916159219811346,5,2024-25
