timestamp,run_name,val_diff_mae,test_diff_mae,val_diff_within_5,test_diff_within_5,val_total_mae,test_total_mae,val_win_acc,test_win_acc,val_brier,test_brier,n_features,injury_enabled,rolling_windows,val_score_mean,val_score_per_fold,test_score_mean,protocol,session_id,notes
2026-09-16 09:32 UTC,hp-tuning-cv_baseline,10.948,11.051,0.2961,0.294,15.012,15.149,0.6501,0.6484,0.2199,0.2177,148,True,"5,10,20",1.3803,"1.4336,1.3888,1.3708,1.3479,1.3605",1.3661,cv,20260916_0921_hp-tuning-cv,"same-run baseline, untouched config"
2026-09-16 09:43 UTC,hp-tuning-cv_trial0,10.791,11.267,0.2971,0.2897,14.959,15.233,0.6497,0.6565,0.2176,0.2131,148,True,"5,10,20",1.3641,"1.3726,1.3551,1.3645",1.3556,cv,20260916_0921_hp-tuning-cv,"CV-integrated hyperparameter sweep; scripts/tune_model.py superseded (broken import, pre-CV-harness objective, l2_leaf_reg/min_data_in_leaf were silent no-ops)"
2026-09-16 09:50 UTC,hp-tuning-cv_trial1,10.745,11.156,0.3026,0.3014,14.82,15.223,0.6445,0.659,0.2164,0.2106,148,True,"5,10,20",1.356,"1.3724,1.3426,1.3529",1.3467,cv,20260916_0921_hp-tuning-cv,"CV-integrated hyperparameter sweep; scripts/tune_model.py superseded (broken import, pre-CV-harness objective, l2_leaf_reg/min_data_in_leaf were silent no-ops)"
2026-09-16 09:59 UTC,hp-tuning-cv_trial2,10.727,11.162,0.3045,0.2959,14.876,15.191,0.6486,0.6606,0.216,0.2107,148,True,"5,10,20",1.3562,"1.3711,1.3463,1.3513",1.3461,cv,20260916_0921_hp-tuning-cv,"CV-integrated hyperparameter sweep; scripts/tune_model.py superseded (broken import, pre-CV-harness objective, l2_leaf_reg/min_data_in_leaf were silent no-ops)"
2026-09-16 10:08 UTC,hp-tuning-cv_trial3,10.804,11.285,0.2982,0.2886,14.961,15.243,0.6451,0.6584,0.2179,0.2134,148,True,"5,10,20",1.3652,"1.3748,1.3556,1.3653",1.3573,cv,20260916_0921_hp-tuning-cv,"CV-integrated hyperparameter sweep; scripts/tune_model.py superseded (broken import, pre-CV-harness objective, l2_leaf_reg/min_data_in_leaf were silent no-ops)"
2026-09-16 10:45 UTC,hp-tuning-cv_trial4,10.768,11.24,0.3042,0.2905,14.942,15.22,0.6423,0.6568,0.2172,0.2124,148,True,"5,10,20",1.3617,"1.3722,1.3510,1.3619",1.3531,cv,20260916_0921_hp-tuning-cv,"CV-integrated hyperparameter sweep; scripts/tune_model.py superseded (broken import, pre-CV-harness objective, l2_leaf_reg/min_data_in_leaf were silent no-ops)"
2026-09-16 10:53 UTC,hp-tuning-cv_trial5,10.859,11.313,0.2931,0.2829,14.992,15.256,0.6451,0.6552,0.2189,0.2135,148,True,"5,10,20",1.3708,"1.3862,1.3629,1.3634",1.3599,cv,20260916_0921_hp-tuning-cv,"CV-integrated hyperparameter sweep; scripts/tune_model.py superseded (broken import, pre-CV-harness objective, l2_leaf_reg/min_data_in_leaf were silent no-ops)"
2026-09-16 11:00 UTC,hp-tuning-cv_trial6,10.735,11.195,0.3007,0.2935,14.874,15.152,0.6464,0.6584,0.2162,0.2112,148,True,"5,10,20",1.3569,"1.3710,1.3441,1.3557",1.3474,cv,20260916_0921_hp-tuning-cv,"CV-integrated hyperparameter sweep; scripts/tune_model.py superseded (broken import, pre-CV-harness objective, l2_leaf_reg/min_data_in_leaf were silent no-ops)"
2026-09-16 11:09 UTC,hp-tuning-cv_trial7,10.794,11.279,0.2928,0.2815,14.955,15.302,0.6483,0.6546,0.2174,0.2137,148,True,"5,10,20",1.3643,"1.3795,1.3556,1.3578",1.3587,cv,20260916_0921_hp-tuning-cv,"CV-integrated hyperparameter sweep; scripts/tune_model.py superseded (broken import, pre-CV-harness objective, l2_leaf_reg/min_data_in_leaf were silent no-ops)"
2026-09-16 11:16 UTC,hp-tuning-cv_trial8,10.774,11.295,0.2999,0.2864,14.983,15.324,0.6453,0.6571,0.2177,0.2135,148,True,"5,10,20",1.3636,"1.3789,1.3521,1.3599",1.3607,cv,20260916_0921_hp-tuning-cv,"CV-integrated hyperparameter sweep; scripts/tune_model.py superseded (broken import, pre-CV-harness objective, l2_leaf_reg/min_data_in_leaf were silent no-ops)"
2026-09-16 11:23 UTC,hp-tuning-cv_trial9,10.762,11.177,0.299,0.2995,14.824,15.214,0.6464,0.6584,0.2169,0.2114,148,True,"5,10,20",1.3576,"1.3751,1.3453,1.3523",1.3481,cv,20260916_0921_hp-tuning-cv,"CV-integrated hyperparameter sweep; scripts/tune_model.py superseded (broken import, pre-CV-harness objective, l2_leaf_reg/min_data_in_leaf were silent no-ops)"
