timestamp,run_name,val_diff_mae,test_diff_mae,val_diff_within_5,test_diff_within_5,val_total_mae,test_total_mae,val_win_acc,test_win_acc,val_brier,test_brier,n_features,injury_enabled,rolling_windows,val_score_mean,val_score_per_fold,test_score_mean,protocol,session_id,notes
2026-09-16 14:51 UTC,hp-tuning-cv-v2_baseline,10.948,11.051,0.2961,0.294,15.012,15.149,0.6501,0.6484,0.2199,0.2177,148,True,"5,10,20",1.3803,"1.4336,1.3888,1.3708,1.3479,1.3605",1.3661,cv,20260916_1235_hp-tuning-cv-v2,"same-run baseline, untouched config"
2026-09-16 14:56 UTC,hp-tuning-cv-v2_trial0,10.727,11.158,0.3045,0.2978,14.87,15.137,0.6483,0.6636,0.2162,0.2104,148,True,"5,10,20",1.3561,"1.3696,1.3441,1.3546",1.3441,cv,20260916_1235_hp-tuning-cv-v2,"screen (3-fold): {'depth': 4, 'learning_rate': 0.016736084852541768, 'l2_leaf_reg': 5.63221232090738, 'min_data_in_leaf': 38, 'subsample': 0.9044467174837834, 'colsample_bylevel': 0.697361717670517} | CV-integrated hyperparameter sweep v2 (v1 session 20260916_0921_hp-tuning-cv interrupted after 10 trials, notes/params logging bug fixed, persistent Optuna storage added)"
2026-09-16 15:02 UTC,hp-tuning-cv-v2_trial1,10.756,11.219,0.3026,0.2959,14.938,15.264,0.6494,0.6603,0.2166,0.2122,148,True,"5,10,20",1.3606,"1.3725,1.3473,1.3621",1.3528,cv,20260916_1235_hp-tuning-cv-v2,"screen (3-fold): {'depth': 6, 'learning_rate': 0.061321315678035414, 'l2_leaf_reg': 1.852737921806106, 'min_data_in_leaf': 17, 'subsample': 0.9096087379624839, 'colsample_bylevel': 0.5481025345070665} | CV-integrated hyperparameter sweep v2 (v1 session 20260916_0921_hp-tuning-cv interrupted after 10 trials, notes/params logging bug fixed, persistent Optuna storage added)"
2026-09-16 15:07 UTC,hp-tuning-cv-v2_trial2,10.726,11.17,0.3064,0.2951,14.86,15.183,0.6491,0.6584,0.2158,0.2108,148,True,"5,10,20",1.3558,"1.3716,1.3431,1.3526",1.3465,cv,20260916_1235_hp-tuning-cv-v2,"screen (3-fold): {'depth': 4, 'learning_rate': 0.03780376882698284, 'l2_leaf_reg': 29.596940862138723, 'min_data_in_leaf': 1, 'subsample': 0.705267914080437, 'colsample_bylevel': 0.6686852763985096} | CV-integrated hyperparameter sweep v2 (v1 session 20260916_0921_hp-tuning-cv interrupted after 10 trials, notes/params logging bug fixed, persistent Optuna storage added)"
2026-09-16 15:13 UTC,hp-tuning-cv-v2_trial3,10.726,11.18,0.3042,0.3008,14.868,15.168,0.6475,0.6603,0.2162,0.2113,148,True,"5,10,20",1.3559,"1.3709,1.3426,1.3543",1.3468,cv,20260916_1235_hp-tuning-cv-v2,"screen (3-fold): {'depth': 5, 'learning_rate': 0.019872250777039677, 'l2_leaf_reg': 1.7211562934428561, 'min_data_in_leaf': 11, 'subsample': 0.6070895769382249, 'colsample_bylevel': 0.929334521850162} | CV-integrated hyperparameter sweep v2 (v1 session 20260916_0921_hp-tuning-cv interrupted after 10 trials, notes/params logging bug fixed, persistent Optuna storage added)"
2026-09-16 15:20 UTC,hp-tuning-cv-v2_trial4,10.799,11.314,0.2991,0.2878,14.99,15.328,0.6486,0.6617,0.2173,0.2136,148,True,"5,10,20",1.3659,"1.3818,1.3503,1.3655",1.3621,cv,20260916_1235_hp-tuning-cv-v2,"screen (3-fold): {'depth': 8, 'learning_rate': 0.08234578241897961, 'l2_leaf_reg': 11.436852039353898, 'min_data_in_leaf': 46, 'subsample': 0.8217544789012496, 'colsample_bylevel': 0.7037059356880953} | CV-integrated hyperparameter sweep v2 (v1 session 20260916_0921_hp-tuning-cv interrupted after 10 trials, notes/params logging bug fixed, persistent Optuna storage added)"
2026-09-16 15:25 UTC,hp-tuning-cv-v2_trial5,10.766,11.217,0.3015,0.2924,14.885,15.245,0.6456,0.6628,0.2166,0.2117,148,True,"5,10,20",1.3598,"1.3794,1.3485,1.3516",1.3521,cv,20260916_1235_hp-tuning-cv-v2,"screen (3-fold): {'depth': 6, 'learning_rate': 0.04103369524360672, 'l2_leaf_reg': 4.199554146508687, 'min_data_in_leaf': 47, 'subsample': 0.9578031943956211, 'colsample_bylevel': 0.9790017833356411} | CV-integrated hyperparameter sweep v2 (v1 session 20260916_0921_hp-tuning-cv interrupted after 10 trials, notes/params logging bug fixed, persistent Optuna storage added)"
2026-09-16 15:34 UTC,hp-tuning-cv-v2_trial6,10.863,11.364,0.2887,0.2832,15.044,15.321,0.6478,0.6576,0.2191,0.2152,148,True,"5,10,20",1.3727,"1.3826,1.3642,1.3714",1.3659,cv,20260916_1235_hp-tuning-cv-v2,"screen (3-fold): {'depth': 8, 'learning_rate': 0.006192544421941806, 'l2_leaf_reg': 26.051627043847592, 'min_data_in_leaf': 6, 'subsample': 0.7083770293149318, 'colsample_bylevel': 0.705754604386573} | CV-integrated hyperparameter sweep v2 (v1 session 20260916_0921_hp-tuning-cv interrupted after 10 trials, notes/params logging bug fixed, persistent Optuna storage added)"
2026-09-16 15:38 UTC,hp-tuning-cv-v2_trial7,10.755,11.196,0.2988,0.2967,14.867,15.161,0.6448,0.6582,0.2165,0.2112,148,True,"5,10,20",1.3583,"1.3754,1.3450,1.3544",1.3478,cv,20260916_1235_hp-tuning-cv-v2,"screen (3-fold): {'depth': 4, 'learning_rate': 0.02631662126258358, 'l2_leaf_reg': 22.843253591706766, 'min_data_in_leaf': 47, 'subsample': 0.5887158685186149, 'colsample_bylevel': 0.9928120428964959} | CV-integrated hyperparameter sweep v2 (v1 session 20260916_0921_hp-tuning-cv interrupted after 10 trials, notes/params logging bug fixed, persistent Optuna storage added)"
2026-09-16 15:43 UTC,hp-tuning-cv-v2_trial8,10.73,11.164,0.305,0.2954,14.835,15.168,0.6516,0.6579,0.216,0.2106,148,True,"5,10,20",1.3553,"1.3716,1.3428,1.3514",1.3455,cv,20260916_1235_hp-tuning-cv-v2,"screen (3-fold): {'depth': 2, 'learning_rate': 0.11189460782046269, 'l2_leaf_reg': 1.3979125171753624, 'min_data_in_leaf': 32, 'subsample': 0.5347065624899177, 'colsample_bylevel': 0.9849215189950791} | CV-integrated hyperparameter sweep v2 (v1 session 20260916_0921_hp-tuning-cv interrupted after 10 trials, notes/params logging bug fixed, persistent Optuna storage added)"
2026-09-16 15:49 UTC,hp-tuning-cv-v2_trial9,10.753,11.208,0.3053,0.2946,14.909,15.235,0.6513,0.6636,0.2168,0.2116,148,True,"5,10,20",1.3595,"1.3750,1.3477,1.3558",1.3512,cv,20260916_1235_hp-tuning-cv-v2,"screen (3-fold): {'depth': 7, 'learning_rate': 0.03151899861994933, 'l2_leaf_reg': 1.2996464934612635, 'min_data_in_leaf': 31, 'subsample': 0.7022023095193887, 'colsample_bylevel': 0.809447263038356} | CV-integrated hyperparameter sweep v2 (v1 session 20260916_0921_hp-tuning-cv interrupted after 10 trials, notes/params logging bug fixed, persistent Optuna storage added)"
2026-09-16 15:54 UTC,hp-tuning-cv-v2_trial10,10.762,11.161,0.302,0.2992,14.841,15.182,0.6426,0.6612,0.2167,0.2108,148,True,"5,10,20",1.358,"1.3721,1.3457,1.3563",1.3457,cv,20260916_1235_hp-tuning-cv-v2,"screen (3-fold): {'depth': 2, 'learning_rate': 0.13858755278942333, 'l2_leaf_reg': 3.4892165865100133, 'min_data_in_leaf': 27, 'subsample': 0.507386978585522, 'colsample_bylevel': 0.5192286987643069} | CV-integrated hyperparameter sweep v2 (v1 session 20260916_0921_hp-tuning-cv interrupted after 10 trials, notes/params logging bug fixed, persistent Optuna storage added)"
2026-09-16 15:58 UTC,hp-tuning-cv-v2_trial11,10.718,11.173,0.3023,0.2997,14.867,15.156,0.6459,0.6595,0.216,0.2109,148,True,"5,10,20",1.3553,"1.3706,1.3392,1.3560",1.3458,cv,20260916_1235_hp-tuning-cv-v2,"screen (3-fold): {'depth': 2, 'learning_rate': 0.1455541252324989, 'l2_leaf_reg': 9.57102035812005, 'min_data_in_leaf': 1, 'subsample': 0.7444815455548986, 'colsample_bylevel': 0.8285809826097437} | CV-integrated hyperparameter sweep v2 (v1 session 20260916_0921_hp-tuning-cv interrupted after 10 trials, notes/params logging bug fixed, persistent Optuna storage added)"
2026-09-16 16:03 UTC,hp-tuning-cv-v2_trial12,10.736,11.166,0.3028,0.2995,14.852,15.14,0.6467,0.6633,0.216,0.2107,148,True,"5,10,20",1.3564,"1.3765,1.3415,1.3512",1.3447,cv,20260916_1235_hp-tuning-cv-v2,"screen (3-fold): {'depth': 2, 'learning_rate': 0.13924329181186632, 'l2_leaf_reg': 9.064807855386361, 'min_data_in_leaf': 21, 'subsample': 0.7883570823500957, 'colsample_bylevel': 0.8654141149032181} | CV-integrated hyperparameter sweep v2 (v1 session 20260916_0921_hp-tuning-cv interrupted after 10 trials, notes/params logging bug fixed, persistent Optuna storage added)"
